,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0,1506.5338781436244,-0.039835487167705685,0.10588289085639929,-0.3762221341475409,0.7067517615103045,0.8522266903385297
1,4838.351925751028,0.2505930134564755,0.07219337310777954,3.4711359598388354,0.0005182615216235329,0.0020097227706341175
2,517.4859090215019,0.7717781508070204,0.1650124972329622,4.677089091727613,2.909758605391783e-06,1.5413359574067376e-05
3,1336.8149045895632,0.30199547627074946,0.11106455534107419,2.7190985939963936,0.006546009297925271,0.02055204972592965
4,4.7533325736588825,0.9735994890669712,2.0262915300590114,0.480483422362535,0.630883688174706,0.8031816479759579
5,957.0403356762099,0.16025662936199228,0.12849341376423257,1.2471972272138458,0.2123251893658487,0.38789490070189103
6,22914.02514937736,-0.3423108336055224,0.048826666623600926,-7.010735265717741,2.3706893487878386e-12,2.2358972511989223e-11
7,2820.385743769816,0.36185077186117853,0.07736503057196517,4.67718773179549,2.90835978455763e-06,1.5409090069304216e-05
8,3018.347926795437,0.23843780162536402,0.07372530340051622,3.2341379503050574,0.0012201050668422806,0.004438655143797257
9,1384.836827344167,0.0747796474129976,0.09921862193957784,0.7536856081163565,0.4510380257377349,0.6594595139843918
10,3207.954543281259,-0.40084376718243375,0.07129337800581521,-5.622454404527416,1.8826326646722828e-08,1.2667685957242207e-07
11,11145.605123613639,-0.5110315275125934,0.05650802582028771,-9.043521165255804,1.5170461491229397e-19,2.325034230787298e-18
12,784.4770652368127,-0.13993147670750136,0.14536918838036378,-0.9625937811619719,0.33575141961192745,0.5402158248203547
13,838.2403450690637,-0.04830552026428464,0.12527156320880117,-0.38560642995864564,0.69978817044437,0.8478020934216037
14,5797.885196706171,0.4323549859413373,0.05903543067544895,7.323652609874848,2.413108807825158e-13,2.453988154999974e-12
15,21678.410538450218,1.1636632121680874,0.043106264060383766,26.99522302693674,1.6816289088721607e-160,8.742116045662815e-158
16,1836.1947826299468,0.3888217637275381,0.09663673558837585,4.0235399236137726,5.7329860363566624e-05,0.00025830734276827654
17,1171.2682100193908,0.8835560038793975,0.10174859624962464,8.683716890911475,3.8304148190647986e-18,5.443628889663822e-17
18,126.15553001529618,-0.5259023097798674,0.2940146195073131,-1.7886944215941836,0.07366404184732896,0.16971719905492128
19,7444.871274906526,-0.699972749983864,0.05424158789631556,-12.904724532067226,4.2332659983864466e-38,1.6277408742020547e-36
20,8550.718753018182,0.14017105436959948,0.048855238065344905,2.869110046749087,0.004116285551910282,0.013512832830361702
21,27433.296168431323,-0.44575923913259885,0.046474613432234524,-9.5914566300281,8.685008898972782e-22,1.5110404036880824e-20
22,14.929973481224067,-0.8111302225727071,1.3119656018467543,-0.6182557084049618,0.5364067931780709,0.732711309466323
23,4.141971015516326,-0.7853751794268743,2.144835382964348,-0.36617037636772753,0.7142379456738169,0.8563388680136094
24,148.0140066694893,0.23843020935781462,0.2685284639896885,0.887914099739424,0.3745869597137915,0.5837711037617417
25,1783.037175806326,-0.7337775755588023,0.35435202753487016,-2.070758789397909,0.03838134319861161,0.09834840829667899
26,57648.16030224701,-0.9596555566192306,0.03900762338164028,-24.601743798390746,1.2100531406084084e-133,4.308617984086899e-131
27,4323.910022897058,-0.5352822836685528,0.06714725569109078,-7.971767098436683,1.5642138651501633e-15,1.882343101705935e-14
28,37922.843344001114,-0.005100033148850193,0.04044000174775507,-0.12611357389798603,0.8996420228442271,0.953931225276274
29,52.61453589362747,1.0654652307261747,0.5544229151255727,1.921755399458651,0.054636542770032936,0.1328004167029611
30,495.7959362562684,-0.23836231201579217,0.15066009665587804,-1.5821197338020718,0.11362223945194969,0.24144725883539309
31,0.459296097319639,2.1887919749547047,3.993525497917781,0.5480851383310155,0.5836334447102961,
32,243.8997489773647,-1.0556168943548347,0.23922159253917835,-4.412715771808734,1.0208197362446662e-05,5.071515176645185e-05
33,7890.053143604537,0.34270612213790896,0.04837960516706279,7.083689934105248,1.4036578395226128e-12,1.3488088067545756e-11
34,1279.1879216886434,-0.27900511654052484,0.09742105329435342,-2.863909874773404,0.00418447051633636,0.013714152330239692
35,5899.856163536246,-0.5280664301726713,0.06217293992955117,-8.493509085641263,2.0048979017647565e-17,2.7327378689339965e-16
36,1968.730066206495,0.4408496369002614,0.09169603048460055,4.807728694147755,1.5265474149437374e-06,8.371212438108136e-06
37,1090.862880038736,0.507338643103771,0.112529028136897,4.508513505391418,6.528341410935621e-06,3.3188182729209776e-05
38,10176.524552864752,0.26223955601095095,0.04429570726119105,5.920202480674866,3.215454918120771e-09,2.333314340779263e-08
39,124.35412295024989,-0.7342831131543581,0.40748013384119863,-1.802009600400592,0.07154389511948253,0.16565477158744962
40,1220.2360571771915,0.14916279078625094,0.10888444663979766,1.3699182517747344,0.1707124215491548,0.32886148175551627
41,9217.920069488384,-0.27211012659133277,0.05327893310771206,-5.107274314994592,3.2683910164502967e-07,1.9246780174579193e-06
42,4419.125066112085,-0.5685794520049547,0.08173000617743875,-6.9568017744982,3.4808418020167368e-12,3.2557582209363454e-11
43,20446.444068228826,-0.7021935879997077,0.04596911318902878,-15.275334660301795,1.1165335981422967e-52,7.53819683545785e-51
44,2486.0991808575227,-0.056410812419314435,0.0905085937469953,-0.6232647098352156,0.5331105843565663,0.729997190734661
45,13439.109215773044,0.11276914326559216,0.04431012820706032,2.5449969979464804,0.010927867773607755,0.032679252995787667
46,23.550953309473872,0.24609496396543307,0.7832450689616072,0.314199187096952,0.753369760049257,0.8787623484545116
47,20046.168820777817,-0.674769031426994,0.04201695245207536,-16.059447248027737,4.909064020789145e-58,3.878458999768153e-56
